label	text	textid
Matthew	And said [unto them], What will ye give me, and I will deliver him unto you?	70
Matthew	And they covenanted with him for thirty pieces of silver.	71
Matthew	And from that time he sought opportunity to betray him.	72
Matthew	Now the first [day] of the [feast of] unleavened bread the disciples came to Jesus, saying unto him, Where wilt thou that we prepare for thee to eat the passover?	73
Matthew	And he said, Go into the city to such a man, and say unto him, The Master saith, My time is at hand; I will keep the passover at thy house with my disciples.	74
Matthew	And the disciples did as Jesus had appointed them; and they made ready the passover.	75
Matthew	Now when the even was come, he sat down with the twelve.	76
Matthew	And as they did eat, he said, Verily I say unto you, that one of you shall betray me.	77
Matthew	And they were exceeding sorrowful, and began every one of them to say unto him, Lord, is it I?	78
Matthew	And he answered and said, He that dippeth [his] hand with me in the dish, the same shall betray me.	79
Matthew	The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed!	80
Matthew	it had been good for that man if he had not been born.	81
Matthew	Then Judas, which betrayed him, answered and said, Master, is it I?	82
Matthew	He said unto him, Thou hast said.	83
Matthew	And as they were eating, Jesus took bread, and blessed [it], and brake [it], and gave [it] to the disciples, and said, Take, eat; this is my body.	84
Matthew	And he took the cup, and gave thanks, and gave [it] to them, saying, Drink ye all of it;	85
Matthew	For this is my blood of the new testament, which is shed for many for the remission of sins.	86
Matthew	But I say unto you, I will not drink henceforth of this fruit of the vine, until that day when I drink it new with you in my Father’s kingdom.	87
Matthew	And when they had sung an hymn, they went out into the mount of Olives.	88
Matthew	Then saith Jesus unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep of the flock shall be scattered abroad.	89
Matthew	But after I am risen again, I will go before you into Galilee.	90
Matthew	Peter answered and said unto him, Though all [men] shall be offended because of thee, [yet] will I never be offended.	91
Matthew	Jesus said unto him, Verily I say unto thee, That this night, before the cock crow, thou shalt deny me thrice.	92
Matthew	Peter said unto him, Though I should die with thee, yet will I not deny thee.	93
Matthew	Likewise also said all the disciples.	94
Matthew	Then cometh Jesus with them unto a place called Gethsemane, and saith unto the disciples, Sit ye here, while I go and pray yonder.	95
Matthew	And he took with him Peter and the two sons of Zebedee, and began to be sorrowful and very heavy.	96
Matthew	Then saith he unto them, My soul is exceeding sorrowful, even unto death: tarry ye here, and watch with me.	97
Matthew	And he went a little further, and fell on his face, and prayed, saying, O my Father, if it be possible, let this cup pass from me: nevertheless not as I will, but as thou [wilt].	98
Matthew	And he cometh unto the disciples, and findeth them asleep, and saith unto Peter, What, could ye not watch with me one hour?	99
Matthew	Watch and pray, that ye enter not into temptation: the spirit indeed [is] willing, but the flesh [is] weak.	100
Matthew	He went away again the second time, and prayed, saying, O my Father, if this cup may not pass away from me, except I drink it, thy will be done.	101
Matthew	And he came and found them asleep again: for their eyes were heavy.	102
Matthew	And he left them, and went away again, and prayed the third time, saying the same words.	103
Matthew	Then cometh he to his disciples, and saith unto them, Sleep on now, and take [your] rest: behold, the hour is at hand, and the Son of man is betrayed into the hands of sinners.	104
Matthew	Rise, let us be going: behold, he is at hand that doth betray me.	105
Matthew	And while he yet spake, lo, Judas, one of the twelve, came, and with him a great multitude with swords and staves, from the chief priests and elders of the people.	106
Matthew	Now he that betrayed him gave them a sign, saying, Whomsoever I shall kiss, that same is he: hold him fast.	107
Matthew	And forthwith he came to Jesus, and said, Hail, master; and kissed him.	108
Matthew	And Jesus said unto him, Friend, wherefore art thou come?	109
Matthew	Then came they, and laid hands on Jesus, and took him.	110
Matthew	And, behold, one of them which were with Jesus stretched out [his] hand, and drew his sword, and struck a servant of the high priest’s, and smote off his ear.	111
Matthew	Then said Jesus unto him, Put up again thy sword into his place: for all they that take the sword shall perish with the sword.	112
Matthew	Thinkest thou that I cannot now pray to my Father, and he shall presently give me more than twelve legions of angels?	113
Matthew	But how then shall the scriptures be fulfilled, that thus it must be?	114
Matthew	In that same hour said Jesus to the multitudes, Are ye come out as against a thief with swords and staves for to take me?	115
Matthew	I sat daily with you teaching in the temple, and ye laid no hold on me.	116
Matthew	But all this was done, that the scriptures of the prophets might be fulfilled.	117
Matthew	Then all the disciples forsook him, and fled.	118
Matthew	And they that had laid hold on Jesus led [him] away to Caiaphas the high priest, where the scribes and the elders were assembled.	119
Matthew	But Peter followed him afar off unto the high priest’s palace, and went in, and sat with the servants, to see the end.	120
Matthew	Now the chief priests, and elders, and all the council, sought false witness against Jesus, to put him to death;	121
Matthew	But found none: yea, though many false witnesses came, [yet] found they none.	122
Matthew	At the last came two false witnesses,	123
Matthew	And said, This [fellow] said, I am able to destroy the temple of God, and to build it in three days.	124
Matthew	And the high priest arose, and said unto him, Answerest thou nothing?	125
Matthew	what [is it which] these witness against thee?	126
Matthew	But Jesus held his peace.	127
Matthew	And the high priest answered and said unto him, I adjure thee by the living God, that thou tell us whether thou be the Christ, the Son of God.	128
Matthew	Jesus saith unto him, Thou hast said: nevertheless I say unto you, Hereafter shall ye see the Son of man sitting on the right hand of power, and coming in the clouds of heaven.	129
Matthew	Then the high priest rent his clothes, saying, He hath spoken blasphemy; what further need have we of witnesses?	130
Matthew	behold, now ye have heard his blasphemy.	131
Matthew	What think ye?	132
Matthew	They answered and said, He is guilty of death.	133
Matthew	Then did they spit in his face, and buffeted him; and others smote [him] with the palms of their hands,	134
Matthew	Saying, Prophesy unto us, thou Christ, Who is he that smote thee?	135
Matthew	Now Peter sat without in the palace: and a damsel came unto him, saying, Thou also wast with Jesus of Galilee.	136
Matthew	But he denied before [them] all, saying, I know not what thou sayest.	137
Matthew	And when he was gone out into the porch, another [maid] saw him, and said unto them that were there, This [fellow] was also with Jesus of Nazareth.	138
Matthew	And again he denied with an oath, I do not know the man.	139
Matthew	And after a while came unto [him] they that stood by, and said to Peter, Surely thou also art [one] of them; for thy speech bewrayeth thee.	140
Matthew	Then began he to curse and to swear, [saying], I know not the man.	141
Matthew	And immediately the cock crew.	142
Matthew	And Peter remembered the word of Jesus, which said unto him, Before the cock crow, thou shalt deny me thrice.	143
Matthew	And he went out, and wept bitterly.	144
Matthew	When the morning was come, all the chief priests and elders of the people took counsel against Jesus to put him to death:	145
Matthew	And when they had bound him, they led [him] away, and delivered him to Pontius Pilate the governor.	146
Matthew	Then Judas, which had betrayed him, when he saw that he was condemned, repented himself, and brought again the thirty pieces of silver to the chief priests and elders,	147
Matthew	Saying, I have sinned in that I have betrayed the innocent blood.	148
Matthew	And they said, What [is that] to us?	149
Matthew	see thou [to that].	150
Matthew	And he cast down the pieces of silver in the temple, and departed, and went and hanged himself.	151
Matthew	And the chief priests took the silver pieces, and said, It is not lawful for to put them into the treasury, because it is the price of blood.	152
Matthew	And they took counsel, and bought with them the potter’s field, to bury strangers in.	153
Matthew	Wherefore that field was called, The field of blood, unto this day.	154
Matthew	Then was fulfilled that which was spoken by Jeremy the prophet, saying, And they took the thirty pieces of silver, the price of him that was valued, whom they of the children of Israel did value;	155
Matthew	And gave them for the potter’s field, as the Lord appointed me.	156
Matthew	And Jesus stood before the governor: and the governor asked him, saying, Art thou the King of the Jews?	157
Matthew	And Jesus said unto him, Thou sayest.	158
Matthew	And when he was accused of the chief priests and elders, he answered nothing.	159
Matthew	Then said Pilate unto him, Hearest thou not how many things they witness against thee?	160
Matthew	And he answered him to never a word; insomuch that the governor marvelled greatly.	161
Matthew	Now at [that] feast the governor was wont to release unto the people a prisoner, whom they would.	162
Matthew	And they had then a notable prisoner, called Barabbas.	163
Matthew	Therefore when they were gathered together, Pilate said unto them, Whom will ye that I release unto you?	164
Matthew	Barabbas, or Jesus which is called Christ?	165
Matthew	For he knew that for envy they had delivered him.	166
Matthew	When he was set down on the judgment seat, his wife sent unto him, saying, Have thou nothing to do with that just man: for I have suffered many things this day in a dream because of him.	167
Matthew	But the chief priests and elders persuaded the multitude that they should ask Barabbas, and destroy Jesus.	168
Matthew	The governor answered and said unto them, Whether of the twain will ye that I release unto you?	169
Matthew	They said, Barabbas.	170
Matthew	Pilate saith unto them, What shall I do then with Jesus which is called Christ?	171
Matthew	[They] all say unto him, Let him be crucified.	172
Matthew	And the governor said, Why, what evil hath he done?	173
Matthew	But they cried out the more, saying, Let him be crucified.	174
Matthew	When Pilate saw that he could prevail nothing, but [that] rather a tumult was made, he took water, and washed [his] hands before the multitude, saying, I am innocent of the blood of this just person: see ye [to it].	175
Matthew	Then answered all the people, and said, His blood [be] on us, and on our children.	176
Matthew	Then released he Barabbas unto them: and when he had scourged Jesus, he delivered [him] to be crucified.	177
Matthew	Then the soldiers of the governor took Jesus into the common hall, and gathered unto him the whole band [of soldiers].	178
Matthew	And they stripped him, and put on him a scarlet robe.	179
Matthew	And when they had platted a crown of thorns, they put [it] upon his head, and a reed in his right hand: and they bowed the knee before him, and mocked him, saying, Hail, King of the Jews!	180
Matthew	And they spit upon him, and took the reed, and smote him on the head.	181
Matthew	And after that they had mocked him, they took the robe off from him, and put his own raiment on him, and led him away to crucify [him].	182
Matthew	And as they came out, they found a man of Cyrene, Simon by name: him they compelled to bear his cross.	183
Matthew	And when they were come unto a place called Golgotha, that is to say, a place of a skull,	184
Matthew	They gave him vinegar to drink mingled with gall: and when he had tasted [thereof], he would not drink.	185
Matthew	And they crucified him, and parted his garments, casting lots: that it might be fulfilled which was spoken by the prophet, They parted my garments among them, and upon my vesture did they cast lots.	186
Matthew	And sitting down they watched him there;	187
Matthew	And set up over his head his accusation written, THIS IS JESUS THE KING OF THE JEWS.	188
Matthew	Then were there two thieves crucified with him, one on the right hand, and another on the left.	189
Matthew	And they that passed by reviled him, wagging their heads,	190
Matthew	And saying, Thou that destroyest the temple, and buildest [it] in three days, save thyself.	191
Matthew	If thou be the Son of God, come down from the cross.	192
Matthew	Likewise also the chief priests mocking [him], with the scribes and elders, said,	193
Matthew	He saved others; himself he cannot save.	194
Matthew	If he be the King of Israel, let him now come down from the cross, and we will believe him.	195
Matthew	He trusted in God; let him deliver him now, if he will have him: for he said, I am the Son of God.	196
Matthew	The thieves also, which were crucified with him, cast the same in his teeth.	197
Matthew	Now from the sixth hour there was darkness over all the land unto the ninth hour.	198
Matthew	And about the ninth hour Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani?	199
Matthew	that is to say, My God, my God, why hast thou forsaken me?	200
Matthew	Some of them that stood there, when they heard [that], said, This [man] calleth for Elias.	201
Matthew	And straightway one of them ran, and took a spunge, and filled [it] with vinegar, and put [it] on a reed, and gave him to drink.	202
Matthew	The rest said, Let be, let us see whether Elias will come to save him.	203
Matthew	Jesus, when he had cried again with a loud voice, yielded up the ghost.	204
Matthew	And, behold, the veil of the temple was rent in twain from the top to the bottom; and the earth did quake, and the rocks rent;	205
Matthew	And the graves were opened; and many bodies of the saints which slept arose,	206
Matthew	And came out of the graves after his resurrection, and went into the holy city, and appeared unto many.	207
Matthew	Now when the centurion, and they that were with him, watching Jesus, saw the earthquake, and those things that were done, they feared greatly, saying, Truly this was the Son of God.	208
Matthew	And many women were there beholding afar off, which followed Jesus from Galilee, ministering unto him:	209
Matthew	Among which was Mary Magdalene, and Mary the mother of James and Joses, and the mother of Zebedee’s children.	210
Matthew	When the even was come, there came a rich man of Arimathaea, named Joseph, who also himself was Jesus’ disciple:	211
Matthew	He went to Pilate, and begged the body of Jesus.	212
Matthew	Then Pilate commanded the body to be delivered.	213
Matthew	And when Joseph had taken the body, he wrapped it in a clean linen cloth,	214
Matthew	And laid it in his own new tomb, which he had hewn out in the rock: and he rolled a great stone to the door of the sepulchre, and departed.	215
Matthew	And there was Mary Magdalene, and the other Mary, sitting over against the sepulchre.	216
Matthew	Now the next day, that followed the day of the preparation, the chief priests and Pharisees came together unto Pilate,	217
Matthew	Saying, Sir, we remember that that deceiver said, while he was yet alive, After three days I will rise again.	218
Matthew	Command therefore that the sepulchre be made sure until the third day, lest his disciples come by night, and steal him away, and say unto the people, He is risen from the dead: so the last error shall be worse than the first.	219
Matthew	Pilate said unto them, Ye have a watch: go your way, make [it] as sure as ye can.	220
Matthew	So they went, and made the sepulchre sure, sealing the stone, and setting a watch.	221
Matthew	In the end of the sabbath, as it began to dawn toward the first [day] of the week, came Mary Magdalene and the other Mary to see the sepulchre.	222
Matthew	And, behold, there was a great earthquake: for the angel of the Lord descended from heaven, and came and rolled back the stone from the door, and sat upon it.	223
Matthew	His countenance was like lightning, and his raiment white as snow:	224
Matthew	And for fear of him the keepers did shake, and became as dead [men].	225
Matthew	And the angel answered and said unto the women, Fear not ye: for I know that ye seek Jesus, which was crucified.	226
Matthew	He is not here: for he is risen, as he said.	227
Matthew	Come, see the place where the Lord lay.	228
Matthew	And go quickly, and tell his disciples that he is risen from the dead; and, behold, he goeth before you into Galilee; there shall ye see him: lo, I have told you.	229
Matthew	And they departed quickly from the sepulchre with fear and great joy; and did run to bring his disciples word.	230
Matthew	And as they went to tell his disciples, behold, Jesus met them, saying, All hail.	231
Matthew	And they came and held him by the feet, and worshipped him.	232
Matthew	Then said Jesus unto them, Be not afraid: go tell my brethren that they go into Galilee, and there shall they see me.	233
Matthew	Now when they were going, behold, some of the watch came into the city, and shewed unto the chief priests all the things that were done.	234
Matthew	And when they were assembled with the elders, and had taken counsel, they gave large money unto the soldiers,	235
Matthew	Saying, Say ye, His disciples came by night, and stole him [away] while we slept.	236
Matthew	And if this come to the governor’s ears, we will persuade him, and secure you.	237
Matthew	So they took the money, and did as they were taught: and this saying is commonly reported among the Jews until this day.	238
Matthew	Then the eleven disciples went away into Galilee, into a mountain where Jesus had appointed them.	239
Matthew	And when they saw him, they worshipped him: but some doubted.	240
Matthew	And Jesus came and spake unto them, saying, All power is given unto me in heaven and in earth.	241
Matthew	Go ye therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost:	242
Matthew	Teaching them to observe all things whatsoever I have commanded you: and, lo, I am with you alway, [even] unto the end of the world.	243
Matthew	Amen.	244
Mark	For it might have been sold for more than three hundred pence, and have been given to the poor.	0
Mark	And they murmured against her.	1
Mark	And Jesus said, Let her alone; why trouble ye her?	2
Mark	she hath wrought a good work on me.	3
Mark	For ye have the poor with you always, and whensoever ye will ye may do them good: but me ye have not always.	4
Mark	She hath done what she could: she is come aforehand to anoint my body to the burying.	5
Mark	Verily I say unto you, Wheresoever this gospel shall be preached throughout the whole world, [this] also that she hath done shall be spoken of for a memorial of her.	6
Mark	And Judas Iscariot, one of the twelve, went unto the chief priests, to betray him unto them.	7
Mark	And when they heard [it], they were glad, and promised to give him money.	8
Mark	And he sought how he might conveniently betray him.	9
Mark	And the first day of unleavened bread, when they killed the passover, his disciples said unto him, Where wilt thou that we go and prepare that thou mayest eat the passover?	10
Mark	And he sendeth forth two of his disciples, and saith unto them, Go ye into the city, and there shall meet you a man bearing a pitcher of water: follow him.	11
Mark	And wheresoever he shall go in, say ye to the goodman of the house, The Master saith, Where is the guestchamber, where I shall eat the passover with my disciples?	12
Mark	And he will shew you a large upper room furnished [and] prepared: there make ready for us.	13
Mark	And his disciples went forth, and came into the city, and found as he had said unto them: and they made ready the passover.	14
Mark	And in the evening he cometh with the twelve.	15
Mark	And as they sat and did eat, Jesus said, Verily I say unto you, One of you which eateth with me shall betray me.	16
Mark	And they began to be sorrowful, and to say unto him one by one, [Is] it I?	17
Mark	and another [said, Is] it I?	18
Mark	And he answered and said unto them, [It is] one of the twelve, that dippeth with me in the dish.	19
Mark	The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed!	20
Mark	good were it for that man if he had never been born.	21
Mark	And as they did eat, Jesus took bread, and blessed, and brake [it], and gave to them, and said, Take, eat: this is my body.	22
Mark	And he took the cup, and when he had given thanks, he gave [it] to them: and they all drank of it.	23
Mark	And he said unto them, This is my blood of the new testament, which is shed for many.	24
Mark	Verily I say unto you, I will drink no more of the fruit of the vine, until that day that I drink it new in the kingdom of God.	25
Mark	And when they had sung an hymn, they went out into the mount of Olives.	26
Mark	And Jesus saith unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep shall be scattered.	27
Mark	But after that I am risen, I will go before you into Galilee.	28
Mark	But Peter said unto him, Although all shall be offended, yet [will] not I.	29
Mark	And Jesus saith unto him, Verily I say unto thee, That this day, [even] in this night, before the cock crow twice, thou shalt deny me thrice.	30
Mark	But he spake the more vehemently, If I should die with thee, I will not deny thee in any wise.	31
Mark	Likewise also said they all.	32
Mark	And they came to a place which was named Gethsemane: and he saith to his disciples, Sit ye here, while I shall pray.	33
Mark	And he taketh with him Peter and James and John, and began to be sore amazed, and to be very heavy;	34
Mark	And saith unto them, My soul is exceeding sorrowful unto death: tarry ye here, and watch.	35
Mark	And he went forward a little, and fell on the ground, and prayed that, if it were possible, the hour might pass from him.	36
Mark	And he said, Abba, Father, all things [are] possible unto thee; take away this cup from me: nevertheless not what I will, but what thou wilt.	37
Mark	And he cometh, and findeth them sleeping, and saith unto Peter, Simon, sleepest thou?	38
Mark	couldest not thou watch one hour?	39
Mark	Watch ye and pray, lest ye enter into temptation.	40
Mark	The spirit truly [is] ready, but the flesh [is] weak.	41
Mark	And again he went away, and prayed, and spake the same words.	42
Mark	And when he returned, he found them asleep again, (for their eyes were heavy,) neither wist they what to answer him.	43
Mark	And he cometh the third time, and saith unto them, Sleep on now, and take [your] rest: it is enough, the hour is come; behold, the Son of man is betrayed into the hands of sinners.	44
Mark	Rise up, let us go; lo, he that betrayeth me is at hand.	45
Mark	And immediately, while he yet spake, cometh Judas, one of the twelve, and with him a great multitude with swords and staves, from the chief priests and the scribes and the elders.	46
Mark	And he that betrayed him had given them a token, saying, Whomsoever I shall kiss, that same is he; take him, and lead [him] away safely.	47
Mark	And as soon as he was come, he goeth straightway to him, and saith, Master, master; and kissed him.	48
Mark	And they laid their hands on him, and took him.	49
Mark	And one of them that stood by drew a sword, and smote a servant of the high priest, and cut off his ear.	50
Mark	And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and [with] staves to take me?	51
Mark	I was daily with you in the temple teaching, and ye took me not: but the scriptures must be fulfilled.	52
Mark	And they all forsook him, and fled.	53
Mark	And there followed him a certain young man, having a linen cloth cast about [his] naked [body]; and the young men laid hold on him:	54
Mark	And he left the linen cloth, and fled from them naked.	55
Mark	And they led Jesus away to the high priest: and with him were assembled all the chief priests and the elders and the scribes.	56
Mark	And Peter followed him afar off, even into the palace of the high priest: and he sat with the servants, and warmed himself at the fire.	57
Mark	And the chief priests and all the council sought for witness against Jesus to put him to death; and found none.	58
Mark	For many bare false witness against him, but their witness agreed not together.	59
Mark	And there arose certain, and bare false witness against him, saying,	60
Mark	We heard him say, I will destroy this temple that is made with hands, and within three days I will build another made without hands.	61
Mark	But neither so did their witness agree together.	62
Mark	And the high priest stood up in the midst, and asked Jesus, saying, Answerest thou nothing?	63
Mark	what [is it which] these witness against thee?	64
Mark	But he held his peace, and answered nothing.	65
Mark	Again the high priest asked him, and said unto him, Art thou the Christ, the Son of the Blessed?	66
Mark	And Jesus said, I am: and ye shall see the Son of man sitting on the right hand of power, and coming in the clouds of heaven.	67
Mark	Then the high priest rent his clothes, and saith, What need we any further witnesses?	68
Mark	Ye have heard the blasphemy: what think ye?	69
Mark	And they all condemned him to be guilty of death.	70
Mark	And some began to spit on him, and to cover his face, and to buffet him, and to say unto him, Prophesy: and the servants did strike him with the palms of their hands.	71
Mark	And as Peter was beneath in the palace, there cometh one of the maids of the high priest:	72
Mark	And when she saw Peter warming himself, she looked upon him, and said, And thou also wast with Jesus of Nazareth.	73
Mark	But he denied, saying, I know not, neither understand I what thou sayest.	74
Mark	And he went out into the porch; and the cock crew.	75
Mark	And a maid saw him again, and began to say to them that stood by, This is [one] of them.	76
Mark	And he denied it again.	77
Mark	And a little after, they that stood by said again to Peter, Surely thou art [one] of them: for thou art a Galilaean, and thy speech agreeth [thereto].	78
Mark	But he began to curse and to swear, [saying], I know not this man of whom ye speak.	79
Mark	And the second time the cock crew.	80
Mark	And Peter called to mind the word that Jesus said unto him, Before the cock crow twice, thou shalt deny me thrice.	81
Mark	And when he thought thereon, he wept.	82
Mark	And straightway in the morning the chief priests held a consultation with the elders and scribes and the whole council, and bound Jesus, and carried [him] away, and delivered [him] to Pilate.	83
Mark	And Pilate asked him, Art thou the King of the Jews?	84
Mark	And he answering said unto him, Thou sayest [it].	85
Mark	And the chief priests accused him of many things: but he answered nothing.	86
Mark	And Pilate asked him again, saying, Answerest thou nothing?	87
Mark	behold how many things they witness against thee.	88
Mark	But Jesus yet answered nothing; so that Pilate marvelled.	89
Mark	Now at [that] feast he released unto them one prisoner, whomsoever they desired.	90
Mark	And there was [one] named Barabbas, [which lay] bound with them that had made insurrection with him, who had committed murder in the insurrection.	91
Mark	And the multitude crying aloud began to desire [him to do] as he had ever done unto them.	92
Mark	But Pilate answered them, saying, Will ye that I release unto you the King of the Jews?	93
Mark	For he knew that the chief priests had delivered him for envy.	94
Mark	But the chief priests moved the people, that he should rather release Barabbas unto them.	95
Mark	And Pilate answered and said again unto them, What will ye then that I shall do [unto him] whom ye call the King of the Jews?	96
Mark	And they cried out again, Crucify him.	97
Mark	Then Pilate said unto them, Why, what evil hath he done?	98
Mark	And they cried out the more exceedingly, Crucify him.	99
Mark	And [so] Pilate, willing to content the people, released Barabbas unto them, and delivered Jesus, when he had scourged [him], to be crucified.	100
Mark	And the soldiers led him away into the hall, called Praetorium; and they call together the whole band.	101
Mark	And they clothed him with purple, and platted a crown of thorns, and put it about his [head],	102
Mark	And began to salute him, Hail, King of the Jews!	103
Mark	And they smote him on the head with a reed, and did spit upon him, and bowing [their] knees worshipped him.	104
Mark	And when they had mocked him, they took off the purple from him, and put his own clothes on him, and led him out to crucify him.	105
Mark	And they compel one Simon a Cyrenian, who passed by, coming out of the country, the father of Alexander and Rufus, to bear his cross.	106
Mark	And they bring him unto the place Golgotha, which is, being interpreted, The place of a skull.	107
Mark	And they gave him to drink wine mingled with myrrh: but he received [it] not.	108
